SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
524622,ISTRNETWK   ,2.15,2.15,2.1,2.1
524632,SHUKRAPHAR  ,46.8,46.8,41.5,42.85
524634,ALU FLUORIDE,279.9,279.9,255.7,263.45
524640,ARCHITORG   ,23.45,23.45,21.6,22.05
524642,SIKOZY REAL ,1.01,1.01,0.99,1.0
524648,INDO AMINES ,87.9,88.0,86.15,87.7
524654,NATURAL CAPS,97.0,100.4,96.0,97.85
524663,BH.IMMUN&BIO,67.6,67.6,67.6,67.6
524667,SOTL        ,1062.8,1150.0,1062.8,1105.8
524669,HESTER BISC ,1774.45,1795.0,1763.25,1792.7
524675,KABSONS INDU,5.96,5.96,5.96,5.96
524687,BASANT AGRO ,6.7,6.78,6.43,6.62
524703,SANDU PHARMA,32.4,32.4,32.4,32.4
524709,NACLIND     ,38.65,40.0,38.5,39.75
524711,VISTA PHARMA,8.75,8.75,8.49,8.5
524715,SUN PHARMA. ,603.0,618.8,602.65,609.7
524717,TITAN BIOTEC,176.95,179.0,170.0,177.1
524727,SDL         ,12.75,13.0,11.3,12.8
524731,JENBURKT PH.,396.5,407.95,396.5,400.65
524735,HIKAL LTD.  ,161.0,164.0,159.2,159.7
524742,CAPLIN POINT,469.9,473.0,463.5,465.3
524743,FISCHER     ,27.0,27.0,25.7,25.7
524748,LINK PHARMA ,28.7,28.7,27.15,27.45
524752,DECIPHER    ,35.2,35.2,31.85,33.35
524768,EMMESSAR BIO,18.45,18.45,18.35,18.35
524774,NGL FINE CHM,1503.7,1537.0,1495.5,1501.45
524790,EVEREST ORG.,254.95,254.95,245.5,248.65
524804,AUROB.PHARMA,863.15,875.0,856.25,863.15
524808,PHYTOCHEM I.,21.45,21.45,19.95,20.9
524816,NATCO PHARM ,817.0,823.7,796.3,802.2
524818,DYNAMIC IND.,44.45,45.8,43.1,44.5
524820,PANAMA PETRO,181.45,181.45,170.45,173.2
524824,BAL PHARMA  ,52.0,57.2,52.0,55.5
524828,BDH INDUS.  ,96.9,97.75,93.05,94.4
526001,JAUS POLYMER,4.34,4.34,4.34,4.34
526025,GLOBUS CON  ,5.75,5.75,5.75,5.75
526027,CUBEX TUBING,18.7,19.8,18.0,19.8
526043,POLYMECH.MCH,32.6,35.4,32.6,34.35
526073,GALAXY BEAR.,192.0,199.0,185.0,197.0
526095,RAVILEELA GR,10.95,10.95,10.95,10.95
526113,UNIROYAL MAR,11.5,11.5,11.5,11.5
526117,SHERVANI IND,244.0,244.0,241.3,243.8
526133,SUPERTEX IND,4.19,4.39,4.15,4.15
526137,SHETRON LTD ,18.2,18.2,17.5,17.65
526139,TRANSGENE BI,4.04,4.04,3.66,3.87
526143,MPL         ,4.35,4.5,4.2,4.5
526159,NIKHIL ADHSV,367.55,389.95,367.55,375.75
526161,SPENTA INT. ,52.15,52.15,49.15,49.2
526169,MULTIBASE I ,187.95,205.0,187.95,197.6
526173,ANDREW YULE ,18.1,20.9,18.1,20.15
526179,LUDOLOW JUTE,80.85,81.65,80.0,80.15
526187,ASHRAM ONLIN,2.81,2.81,2.81,2.81
526193,ROYAL CUSHIO,7.6,7.64,6.95,6.95
526217,HITECHCORP  ,132.0,142.15,132.0,142.0
526225,BLOOM DEKOR ,17.3,17.3,17.3,17.3
526227,FILATEX INDI,68.95,69.0,67.25,68.45
526231,STD.SURFACT.,31.55,34.8,31.5,31.5
526235,MERCATOR    ,1.0,1.05,0.98,1.04
526241,AMRAPALI IND,3.98,4.0,3.98,3.98
526247,PREMIER EXPL,144.9,148.35,143.95,145.15
526263,MOLD-TEK TEC,42.75,43.75,42.05,42.55
526269,CRESTCHEM LT,27.95,28.5,27.95,28.5
526299,MPHASIS LTD ,1691.15,1698.65,1620.65,1651.75
526301,MEDINOVA DIA,24.8,24.8,23.1,23.15
526315,DIVYA.GRANIT,49.05,50.0,46.65,47.9
526325,ORIENT PRESS,87.7,91.3,87.7,90.9
526335,SHREYAS INTE,7.12,7.12,7.0,7.0
526365,SWARNASA    ,11.24,12.95,11.24,12.36
526367,GANESH HSG. ,53.65,53.65,53.0,53.65
526371,NMDC LTD    ,124.9,129.1,124.55,128.0
526381,PAT INT LOG ,25.3,25.6,24.6,24.85
526397,ALPHAGEO (I),216.6,235.65,211.0,226.85
526407,RIT PRO IND ,33.95,33.95,29.3,29.8
526409,KKALPANAIND ,21.25,22.45,21.25,22.0
